,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
179,11,24,5,61,124,0.3333333333333333,0.3636363636363636,0.2727272727272727,0.125,0.4,3.0,11.0,11.0,8.0,5.0,2,15,3,0.0712,0.6053,-0.0938383,-1.05,1685,1,1,1,1,0,0,0,0,0,0,0,4,911.1098,24322,32403,40411,-293,-3344,-4833,-2192,-6156,103,214,36,42,35.1454,817,170,545,35,754,44,922,57,52772,3084.8902,2575.7982
1519,5,73,77,14,22,0.7857142857142857,0.3333333333333333,0.6595744680851063,0.8571428571428571,0.4615384615384615,14.0,18.0,47.0,7.0,13.0,12,4,23,0.45,0.6,0.0760694,0.95,1600,0,1,2,2,1,1,1,1,1,0,1,8,1303.6125,25289,35819,45891,486,2155,4065,908,3074,102,234,43,29,34.0125,717,190,505,-6,717,15,880,41,44338,2949.45,2486.775
272,61,82,28,93,25,0.3125,0.2666666666666666,0.3333333333333333,0.3809523809523809,0.375,16.0,15.0,6.0,21.0,8.0,11,25,25,0.2827,0.9251,-0.0246093,0.32,2335,0,1,4,4,1,2,1,1,1,1,1,8,1131.9829,25880,36141,46874,1610,2201,4575,-708,993,0,378,73,59,31.5032,1001,225,509,18,689,13,832,-4,97877,3707.2291,2975.2548
1272,45,35,37,51,0,0.45,0.1666666666666666,0.3125,0.0,0.2307692307692307,20.0,12.0,16.0,1.0,13.0,9,20,22,0.3518,1.1336,-0.226634,-3.13,1535,0,1,1,1,0,0,0,0,0,0,0,1,1003.0358,24112,33526,41007,-3929,-5020,-12810,-2429,-12567,80,189,32,32,33.1857,701,148,541,-31,715,-21,847,-73,41375,3559.8176,2608.9642
459,28,54,104,24,26,0.4090909090909091,0.5,0.6521739130434783,0.6666666666666666,0.0,22.0,20.0,23.0,33.0,3.0,8,22,21,0.2243,0.8411,-0.1201,-3.03,2140,1,1,1,1,0,0,0,0,0,0,0,2,1020.3364,25171,34138,42130,-4197,-4740,-5813,-914,-3465,126,311,53,45,34.3178,1038,186,523,37,712,52,890,55,65282,3335.2991,3564.0561
1434,70,78,70,93,38,0.5416666666666666,0.6486486486486487,0.4242424242424242,0.5714285714285714,0.6,48.0,37.0,33.0,14.0,10.0,13,19,33,0.3978,0.9791,-0.0361991,-0.81,1961,0,0,1,1,0,0,0,0,0,0,0,2,1039.4901,25044,34537,43458,703,-427,-2226,-579,-1934,118,315,72,52,32.0041,840,206,517,-9,683,-7,840,9,71412,2426.5273,2482.9781
1618,9,62,33,39,68,0.8484848484848485,0.7419354838709677,0.6956521739130435,0.8,0.76,33.0,31.0,23.0,15.0,25.0,14,5,34,0.4988,0.677,0.0999291,2.82,1684,1,0,3,3,0,0,1,1,1,1,1,6,1463.658,27783,36689,46340,4465,2769,4420,1670,4431,94,222,45,33,39.905,907,213,589,99,813,116,1016,134,85239,3371.9715,3336.3064
416,28,88,49,76,99,0.1428571428571428,0.4166666666666667,0.3636363636363636,0.2222222222222222,0.3333333333333333,7.0,12.0,11.0,9.0,3.0,5,13,15,0.1736,0.625,-0.105996,0.09,1728,1,0,1,1,1,1,0,0,1,0,0,1,1015.9375,23933,33071,41303,1041,-69,-809,101,-2571,102,256,78,39,35.3125,830,187,560,36,755,55,939,58,49489,2874.0972,3033.8542
110,61,62,76,35,109,0.3636363636363636,0.3684210526315789,0.0,0.375,0.0,22.0,38.0,2.0,16.0,1.0,3,16,8,0.1054,0.6678,-0.11834,-2.25,1707,0,0,1,1,1,1,0,0,0,0,0,5,959.6485,22203,29816,38203,-2694,-5898,-7965,-3366,-9663,116,244,61,47,32.6889,812,118,476,-28,641,-65,833,-63,50093,2623.2689,2017.1178
1315,56,47,39,45,41,0.3333333333333333,0.6470588235294118,0.5625,0.5,0.6097560975609756,9.0,34.0,16.0,2.0,41.0,17,9,50,0.7044,1.0359,0.108276,0.79,1448,1,0,2,2,0,0,1,1,1,1,1,2,1384.5994,26593,37097,49563,1611,2641,9106,4092,12951,67,179,27,30,34.1436,652,172,538,31,699,61,824,100,77457,2957.942,2955.0414
743,63,83,2,61,29,0.5,0.45,0.8333333333333334,0.7368421052631579,0.6428571428571429,14.0,20.0,12.0,19.0,28.0,8,14,17,0.2603,0.7158,-0.133821,-1.44,1844,0,0,1,1,0,0,0,0,0,0,0,2,1015.0542,24146,32032,41565,-2498,-3687,-2697,-1088,-1431,107,239,47,57,35.7592,925,174,515,-4,714,-28,943,-8,48008,2429.7397,2032.8742
1104,61,73,72,38,30,0.0,0.35,0.15,0.2857142857142857,0.3333333333333333,8.0,20.0,20.0,28.0,12.0,16,20,22,0.5215,1.1733,-0.150154,-2.44,1841,0,0,1,1,1,1,0,0,0,0,0,3,1095.937,25697,34437,41529,-883,-2935,-7358,-1250,-8253,94,215,35,36,33.6991,880,154,518,-39,701,-35,876,-69,75815,3923.2048,3486.6812
1280,31,45,33,33,52,0.75,0.7692307692307693,0.56,0.75,0.4285714285714285,28.0,26.0,25.0,4.0,7.0,0,13,0,0.0,0.483,-0.0918646,-1.65,1615,0,0,0,0,0,0,0,0,0,0,0,3,922.9226,24390,32235,40450,-2362,-4119,-6393,-3712,-7704,93,189,35,27,34.9598,776,165,572,-6,740,-22,907,4,44421,2607.3065,1557.6223
164,8,78,50,24,99,0.8333333333333334,0.53125,0.5,0.5483870967741935,0.5555555555555556,6.0,32.0,2.0,31.0,9.0,4,17,8,0.1364,0.7163,-0.132932,-3.47,1759,0,0,0,0,0,0,0,0,0,0,0,1,884.3434,21667,30411,38100,-5505,-6930,-9996,-4154,-8925,98,245,45,49,31.245,768,148,470,-47,682,-50,800,-74,53798,2831.0858,2761.535
288,61,78,28,2,30,0.3,0.3333333333333333,0.25,0.5,0.0,10.0,9.0,4.0,8.0,7.0,15,23,44,0.3228,0.8178,-0.0579473,-1.17,2788,0,1,2,2,0,1,0,0,1,1,0,2,979.8207,23756,32998,41955,-668,465,-1872,354,-3607,0,449,89,72,28.6011,1103,226,513,23,712,37,907,42,122974,3715.5452,5941.3773
980,9,5,49,38,82,0.8484848484848485,0.8064516129032258,0.7142857142857143,0.7962962962962963,0.8,33.0,31.0,21.0,54.0,20.0,4,6,9,0.138,0.345,-0.0591966,-1.62,1739,0,1,3,3,0,0,0,0,0,0,0,3,971.8344,25042,32839,41476,-1552,-2977,-2596,-1125,-983,106,253,48,42,34.3646,822,174,555,-45,735,-45,886,-29,45065,2406.245,3448.2231
